Table Name,Usage Count,Components
parent_children,5,"admin/AddParentScreen.tsx; admin/ParentDetailAdminView.tsx; parent/FeeStatusScreen.tsx; parent/ParentDashboard.tsx; parent/SelectChildForReportScreen.tsx"
parents,5,"admin/AddParentScreen.tsx; admin/ParentDetailAdminView.tsx; admin/ParentListScreen.tsx; parent/FeeStatusScreen.tsx; parent/ParentDashboard.tsx"
student_fees,3,"dashboards/ParentDashboard.tsx; parent/FeeStatusScreen.tsx; parent/ParentDashboard.tsx"
users,2,"admin/AddParentScreen.tsx; admin/ParentDetailAdminView.tsx"
assignments,2,"dashboards/ParentDashboard.tsx; parent/ParentDashboard.tsx"
student_attendance,2,"dashboards/ParentDashboard.tsx; parent/ParentDashboard.tsx"
students,2,"parent/ParentDashboard.tsx; parent/SelectChildForReportScreen.tsx"
auth_accounts,1,"admin/ParentDetailAdminView.tsx"
database,1,"admin/ParentDetailAdminView.tsx"
report_cards,1,"dashboards/ParentDashboard.tsx"
teachers,1,"parent/AppointmentScreen.tsx"
appointments,1,"parent/AppointmentScreen.tsx"
transactions,1,"parent/FeeStatusScreen.tsx"
learning_resources,1,"parent/LearningResourcesScreen.tsx"
pta_meetings,1,"parent/PTAMeetingScreen.tsx"
assignment_submissions,1,"parent/ParentDashboard.tsx"
notifications,1,"parent/ParentDashboard.tsx"
fees,1,"parent/ParentDashboard.tsx"
conversation_participants,1,"parent/ParentMessagesScreen.tsx"
conversations,1,"parent/ParentMessagesScreen.tsx"
the,1,"parent/ParentProfileScreen.tsx"
permission_slips,1,"parent/PermissionSlipScreen.tsx"
school_policies,1,"parent/SchoolPoliciesScreen.tsx"
volunteer_opportunities,1,"parent/VolunteerSignup.tsx"
volunteer_signups,1,"parent/VolunteerSignup.tsx"
volunteer_hours,1,"parent/VolunteerSignup.tsx"
volunteer_badges,1,"parent/VolunteerSignup.tsx"
volunteering_opportunities,1,"parent/VolunteeringScreen.tsx"
