Table Name,Usage Count,Components
teachers,11,"admin/AddTeacherScreen.tsx; admin/TeacherDetailAdminView.tsx; admin/TeacherListScreen.tsx; teacher/TeacherCommunicationScreen.tsx; teacher/TeacherDashboard.tsx; teacher/TeacherNotificationSettingsScreen.tsx; teacher/TeacherOverview.tsx; teacher/TeacherProfile.tsx; teacher/TeacherProfileEnhanced.tsx; teacher/TeacherSalaryProfile.tsx; teacher/TeacherSecurityScreen.tsx"
teacher_classes,4,"admin/AddTeacherScreen.tsx; teacher/TeacherAssignmentsListScreen.tsx; teacher/TeacherCommunicationScreen.tsx; teacher/TeacherOverview.tsx"
students,3,"teacher/TeacherAttendanceScreen.tsx; teacher/TeacherOverview.tsx; teacher/TeacherReportsScreen.tsx"
users,2,"admin/AddTeacherScreen.tsx; admin/TeacherDetailAdminView.tsx"
the,2,"admin/AddTeacherScreen.tsx; teacher/TeacherSettingsScreen.tsx"
teacher_subjects,2,"admin/AddTeacherScreen.tsx; teacher/TeacherProfile.tsx"
assignments,2,"teacher/TeacherAssignmentsListScreen.tsx; teacher/TeacherOverview.tsx"
student_attendance,2,"teacher/TeacherAttendanceScreen.tsx; teacher/TeacherReportsScreen.tsx"
subjects,1,"admin/AddTeacherScreen.tsx"
classes,1,"admin/AddTeacherScreen.tsx"
teacher_attendance,1,"admin/TeacherAttendanceScreen.tsx"
database,1,"admin/TeacherDetailAdminView.tsx"
auth_accounts,1,"admin/TeacherDetailAdminView.tsx"
notices,1,"teacher/TeacherCommunicationScreen.tsx"
forum_categories,1,"teacher/TeacherForum.tsx"
forum_threads,1,"teacher/TeacherForum.tsx"
conversations,1,"teacher/TeacherMessagesScreen.tsx"
conversation_participants,1,"teacher/TeacherMessagesScreen.tsx"
timetable,1,"teacher/TeacherOverview.tsx"
academic_performance,1,"teacher/TeacherReportsScreen.tsx"
payslips,1,"teacher/TeacherSalaryProfile.tsx"
teacher_salaries,1,"teacher/TeacherSalaryProfile.tsx"
2fa,1,"teacher/TeacherSecurityScreen.tsx"
login_history,1,"teacher/TeacherSecurityScreen.tsx"
